Id,Player,PER_avg,GP_avg,Seasons
Perkisa01,Sam Perkins,-66.904014860297,5.0,3
Piercpa01,Paul Pierce,-71.13972370916888,7.3,10
Iversal01,Allen Iverson,-75.51929557695877,4.125,8
Battish01,Shane Battier,-81.17544606857629,3.6666666666666665,9
Masonan01,Anthony Mason,-86.59596518774818,4.0,1
Davisba01,Baron Davis,-88.58920519286907,3.3333333333333335,3
Snower01,Eric Snow,-93.0876231251373,5.714285714285714,7
Webbech01,Chris Webber,-108.4236671748944,4.0,7
Randoza01,Zach Randolph,-109.89238383815102,3.142857142857143,7
Onealsh01,Shaquille O'Neal,-111.46409196698056,4.818181818181818,11
Artesro01,Metta World Peace,-117.9800575382763,3.5,8
Okurme01,Mehmet Okur,-120.6434946898504,4.666666666666667,3
Willier01,Eric Williams,-128.61325494817882,4.0,2
Wallara01,Rasheed Wallace,-129.41148189484326,4.583333333333333,12
Barklch01,Charles Barkley,-131.5946319375227,3.3333333333333335,3
Kittlke01,Kerry Kittles,-175.16293976784632,5.75,4
Nashst01,Steve Nash,-181.7360648953297,4.25,4
Rogerro01,Rodney Rogers,-203.779169394536,3.6666666666666665,3
Stockjo01,John Stockton,-317.4544237533366,5.142857142857143,7
Connapa01,Pat Connaughton,-318.29830222628533,3.5,2
Davisda01,Dale Davis,-325.31072158421574,4.333333333333333,6
Perkike01,Kendrick Perkins,-350.3965509613234,5.75,8
Schrede01,Detlef Schrempf,-398.41481594973015,4.666666666666667,3
Oaklech01,Charles Oakley,-403.9409966481801,4.0,4
Jacksja01,Jaren Jackson,-454.6811529074879,3.5,2
Anthogr01,Greg Anthony,-1025.8416684500464,3.6666666666666665,3
