Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Steve Blake,POR,35,17,10,7,0.6,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.5
Tony Parker,SAS,33,17,9,8,1.9,0.9,0.3,0.8,35.7,0.1,0.2,66.7,0.2,0.3,80.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.2,0.4
Tristan Thompson,CLE,24,17,13,4,1.4,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,100,0.3,0.2,0.5,0.0,0.1,0.0,0.0,0.1,0.5
Carlos Boozer,LAL,33,16,8,8,1.8,0.3,0.1,0.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.0,0.1,0.0,0.0,0.3,0.4
Draymond Green,GSW,25,16,11,5,1.9,0.4,0.2,0.3,60.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.3,0.6,0.2,0.1,0.2,0.1,0.5,0.9
Jonas Valanciunas,TOR,23,16,5,11,1.4,0.3,0.1,0.4,16.7,0.0,0.0,0.0,0.2,0.3,75.0,0.3,0.2,0.5,0.0,0.1,0.1,0.1,0.1,-1.3
Kelly Olynyk,BOS,24,16,7,9,1.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,50.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.4,1.3
Kevin Love,CLE,26,16,10,6,2.0,0.6,0.1,0.6,20.0,0.0,0.3,0.0,0.3,0.4,71.4,0.1,0.5,0.6,0.1,0.0,0.0,0.1,0.1,0.7
Amar'e Stoudemire,DAL,32,15,3,12,1.2,0.4,0.2,0.3,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.1,0.1,0.1,0.2,-0.9
Jordan Clarkson,LAL,23,15,4,11,1.6,1.1,0.2,0.7,27.3,0.0,0.3,0.0,0.7,0.7,100,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.3,-2.1
Kawhi Leonard,SAS,24,15,8,7,1.9,0.3,0.1,0.4,16.7,0.0,0.1,0.0,0.2,0.4,50.0,0.2,0.1,0.3,0.2,0.1,0.3,0.1,0.3,0.9
Kevin Martin,MIN,32,15,7,8,1.8,1.1,0.4,1.3,30.0,0.3,0.5,50.0,0.0,0.1,0.0,0.1,0.1,0.2,0.0,0.1,0.0,0.0,0.1,0.1
Kyle Singler,OKC,27,15,3,12,1.1,0.3,0.1,0.2,33.3,0.0,0.1,0.0,0.1,0.2,66.7,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.2,-2.3
Mike Dunleavy,CHI,34,15,9,6,1.3,0.3,0.1,0.3,25.0,0.0,0.1,0.0,0.1,0.2,66.7,0.1,0.3,0.3,0.3,0.1,0.1,0.0,0.1,1.4
Shane Larkin,NYK,22,15,3,12,1.4,0.3,0.1,0.3,20.0,0.0,0.1,0.0,0.1,0.1,100,0.0,0.3,0.3,0.1,0.0,0.1,0.1,0.3,-0.3
Brandon Jennings,DET,25,14,7,7,1.9,0.9,0.3,1.4,20.0,0.1,0.4,16.7,0.2,0.3,75.0,0.0,0.1,0.1,0.4,0.1,0.1,0.0,0.2,0.1
Danilo Gallinari,DEN,26,14,8,6,1.0,0.3,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.4,80.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,1.1
Harrison Barnes,GSW,23,14,11,3,1.0,0.5,0.2,0.4,60.0,0.0,0.0,0.0,0.1,0.1,50.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,1.8
Jason Thompson,SAC,28,14,6,8,1.5,0.6,0.1,0.3,50.0,0.0,0.0,0.0,0.3,0.3,100,0.1,0.3,0.4,0.1,0.0,0.0,0.1,0.1,-1.5
Langston Galloway,NYK,23,14,8,6,1.8,0.8,0.3,0.7,40.0,0.2,0.4,50.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.1,1.1
Ricky Rubio,MIN,24,14,6,8,1.8,0.4,0.1,0.6,11.1,0.0,0.1,0.0,0.3,0.3,100,0.1,0.4,0.4,0.7,0.1,0.0,0.0,0.6,-0.8
Timofey Mozgov,CLE,28,14,11,3,1.5,0.6,0.2,0.3,75.0,0.0,0.0,0.0,0.2,0.3,75.0,0.1,0.4,0.5,0.0,0.1,0.0,0.1,0.3,1.1
Tony Snell,CHI,23,14,10,4,1.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.1,0.6
