Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
George Hill,CLE,32,5,4,1,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.8
Kevin Durant,GSW,29,5,3,2,1.9,1.4,0.4,0.6,66.7,0.2,0.2,100,0.4,0.4,100,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,1.0
Klay Thompson,GSW,28,5,3,2,1.9,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.2,1.0
Marcus Morris Sr.,BOS,28,5,3,2,1.0,0.4,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,2.2
Marcus Smart,BOS,24,5,4,1,1.2,0.8,0.2,0.4,50.0,0.0,0.2,0.0,0.4,0.8,50.0,0.2,0.2,0.4,0.2,0.0,0.2,0.0,0.2,1.2
Ben Simmons,PHI,21,4,1,3,2.0,1.5,0.8,0.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.3,0.0,0.0,0.0,-1.8
Bojan Bogdanovic,IND,29,4,1,3,1.0,0.8,0.3,0.3,100,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ Redick,PHI,34,4,1,3,2.0,1.5,0.5,0.8,66.7,0.0,0.3,0.0,0.5,0.5,100,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.3,-1.0
Joel Embiid,PHI,24,4,1,3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.8,0.3,0.5,0.0,0.0,0.3,-1.3
Kevon Looney,GSW,22,4,2,2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-1.3
Larry Nance Jr.,CLE,25,4,3,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Myles Turner,IND,22,4,1,3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3
Stephen Curry,GSW,30,4,2,2,2.3,2.5,1.0,2.3,44.4,0.3,0.5,50.0,0.3,0.3,100,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.0
Thaddeus Young,IND,30,4,1,3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0
Tristan Thompson,CLE,27,4,2,2,1.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.3,-3.0
Victor Oladipo,IND,26,4,1,3,1.0,0.5,0.3,0.8,33.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
