Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Josh Richardson,MIA,22,7,2,5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,-0.3
Mario Hezonja,ORL,21,7,3,4,1.7,0.9,0.3,0.7,40.0,0.3,0.6,50.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.4,0.0,0.0,0.1,0.9
Markel Brown,BKN,24,7,4,3,1.3,0.4,0.1,0.1,100.0,0.0,0.0,0.0,0.1,0.1,100.0,0.0,0.3,0.3,0.3,0.1,0.0,0.0,0.1,-0.3
Maurice Harkless,POR,23,7,3,4,1.2,0.3,0.0,0.3,0.0,0.0,0.1,0.0,0.3,0.4,66.7,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.1,0.1
Michael Beasley,HOU,27,7,2,5,1.6,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.1,0.0,0.0,0.3,-0.7
Mike Dunleavy,CHI,35,7,5,2,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9
Nene,WAS,33,7,2,5,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,50.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,-0.3
PJ Hairston,MEM,23,7,6,1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6
Patty Mills,SAS,27,7,4,3,1.2,0.4,0.1,0.7,20.0,0.1,0.7,20.0,0.0,0.0,0.0,0.3,0.1,0.4,0.0,0.1,0.1,0.0,0.0,1.9
Rodney Stuckey,IND,30,7,2,5,1.6,0.7,0.3,0.4,66.7,0.0,0.1,0.0,0.1,0.3,50.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.6
Rondae Hollis-Jefferson,BKN,21,7,3,4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,-2.0
Roy Hibbert,LAL,29,7,3,4,1.8,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,100.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.3,-1.3
Spencer Hawes,CHA,28,7,4,3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.1,0.1,0.1,0.0,0.3,0.7
Terrence Jones,HOU,24,7,6,1,1.6,1.3,0.6,0.7,80.0,0.0,0.0,0.0,0.1,0.1,100.0,0.3,0.0,0.3,0.0,0.0,0.0,0.1,0.3,1.4
Justin Anderson,DAL,22,6,3,3,1.1,0.5,0.2,0.2,100.0,0.0,0.0,0.0,0.2,0.3,50.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,-1.0
Kris Humphries,ATL,31,6,3,3,0.2,0.5,0.2,0.2,100.0,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8
Kyle Singler,OKC,28,6,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,0.2,0.0,0.0,0.0,0.0,0.8
Miles Plumlee,MIL,27,6,3,3,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,-0.3
Ronnie Price,PHX,33,6,1,5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,-1.0
T.J. Warren,PHX,22,6,1,5,1.4,0.5,0.2,0.3,50.0,0.0,0.0,0.0,0.2,0.3,50.0,0.2,0.2,0.3,0.0,0.0,0.0,0.0,0.3,-2.0
